Day Index,Avg. Session Duration,seconds,z-score,baseline_iso_forest,baseline_lof
2021-07-21,0 days 00:01:40,100.0,0.0,1,1
2021-07-22,0 days 00:01:29,89.0,-0.5707307692307693,1,1
2021-07-23,0 days 00:02:19,139.0,2.0235,1,1
2021-07-24,0 days 00:01:31,91.0,-0.4669615384615385,1,1
2021-07-25,0 days 00:01:53,113.0,0.6745,1,1
2021-07-26,0 days 00:01:33,93.0,-0.3631923076923077,1,1
2021-07-27,0 days 00:01:29,89.0,-0.5707307692307693,1,1
2021-07-28,0 days 00:01:35,95.0,-0.2594230769230769,1,1
2021-07-29,0 days 00:02:01,121.0,1.089576923076923,1,1
2021-07-30,0 days 00:01:34,94.0,-0.3113076923076923,1,1
2021-07-31,0 days 00:01:40,100.0,0.0,1,1
2021-08-01,0 days 00:02:05,125.0,1.2971153846153847,1,1
2021-08-02,0 days 00:02:17,137.0,1.919730769230769,1,1
2021-08-03,0 days 00:02:10,130.0,1.5565384615384614,1,1
2021-08-04,0 days 00:01:36,96.0,-0.20753846153846153,1,1
2021-08-05,0 days 00:01:30,90.0,-0.5188461538461538,1,1
2021-08-06,0 days 00:02:11,131.0,1.608423076923077,1,1
2021-08-07,0 days 00:01:39,99.0,-0.05188461538461538,1,1
2021-08-08,0 days 00:01:21,81.0,-0.9858076923076923,1,1
2021-08-09,0 days 00:01:53,113.0,0.6745,1,1
2021-08-10,0 days 00:01:37,97.0,-0.15565384615384614,1,1
2021-08-11,0 days 00:01:36,96.0,-0.20753846153846153,1,1
2021-08-12,0 days 00:01:51,111.0,0.5707307692307693,1,1
2021-08-13,0 days 00:02:03,123.0,1.1933461538461538,1,1
2021-08-14,0 days 00:01:34,94.0,-0.3113076923076923,1,1
2021-08-15,0 days 00:01:21,81.0,-0.9858076923076923,1,1
2021-08-16,0 days 00:01:23,83.0,-0.8820384615384615,1,1
2021-08-17,0 days 00:01:36,96.0,-0.20753846153846153,1,1
2021-08-18,0 days 00:01:24,84.0,-0.8301538461538461,1,1
2021-08-19,0 days 00:01:26,86.0,-0.7263846153846154,1,1
2021-08-20,0 days 00:01:19,79.0,-1.089576923076923,1,1
2021-08-21,0 days 00:02:19,139.0,2.0235,1,1
2021-08-22,0 days 00:02:02,122.0,1.1414615384615385,1,1
2021-08-23,0 days 00:01:41,101.0,0.05188461538461538,1,1
2021-08-24,0 days 00:01:11,71.0,-1.5046538461538463,1,1
2021-08-25,0 days 00:02:21,141.0,2.1272692307692305,1,1
