Day Index,Pageviews,z-score,baseline_iso_forest,baseline_lof
2021-08-26,13761,0.1762600258732212,1,1
2021-08-27,12219,-0.1601173997412678,1,1
2021-08-28,6231,-1.4663612548512288,1,1
2021-08-29,7375,-1.216804980595084,1,1
2021-08-30,13090,0.029885672703751615,1,1
2021-08-31,12929,-0.005235446313065976,1,1
2021-09-01,12682,-0.05911691461836999,1,1
2021-09-02,13867,0.19938324708926258,1,1
2021-09-03,10439,-0.5484130012936611,1,1
2021-09-04,5357,-1.6570187580853815,1,1
2021-09-05,5932,-1.531586190168176,1,1
2021-09-06,7125,-1.2713408796895214,1,1
2021-09-07,12974,0.00458101552393273,1,1
2021-09-08,12393,-0.12216041397153944,1,1
2021-09-09,12727,-0.049300452781371275,1,1
2021-09-10,11280,-0.3649542367399741,1,1
2021-09-11,7015,-1.2953366752910738,1,1
2021-09-12,6162,-1.4814131630012934,1,1
2021-09-13,13419,0.10165491591203105,1,1
2021-09-14,13964,0.22054317593790426,1,1
2021-09-15,14724,0.38633230918499356,1,1
2021-09-16,12934,-0.004144728331177232,1,1
2021-09-17,12114,-0.1830224773609314,1,1
2021-09-18,5905,-1.5374760672703753,1,1
2021-09-19,6721,-1.359470892626132,1,1
2021-09-20,13903,0.20723641655886157,1,1
2021-09-21,14811,0.4053108020698577,1,1
2021-09-22,14252,0.28336853169469595,1,1
2021-09-23,14712,0.38371458602846054,1,1
2021-09-24,12108,-0.18433133893919793,1,1
2021-09-25,5588,-1.6066275873221216,1,1
2021-09-26,6910,-1.3182417529107373,1,1
2021-09-27,17209,0.9284191461836999,1,1
2021-09-28,16722,0.8221832147477361,1,1
2021-09-29,16043,0.6740637128072445,1,1
2021-09-30,14480,0.33310527166882276,1,1
2021-10-01,13017,0.013961190168175939,1,1
2021-10-02,6175,-1.4785772962483827,1,1
2021-10-03,7096,-1.277667043984476,1,1
2021-10-04,13366,0.09009330530401034,1,1
2021-10-05,15952,0.6542126455368693,1,1
2021-10-06,17166,0.9190389715394566,1,1
2021-10-07,17469,0.9851364812419146,1,1
2021-10-08,14697,0.3804424320827943,1,1
2021-10-09,6061,-1.503445666235446,1,1
2021-10-10,7520,-1.1851741591203104,1,1
2021-10-11,13080,0.027704236739974127,1,1
2021-10-12,14974,0.4408682082794308,1,1
2021-10-13,15138,0.4766437580853816,1,1
2021-10-14,13791,0.18280433376455368,1,1
2021-10-15,13587,0.13830304010349287,1,1
2021-10-16,7058,-1.2859565006468305,1,1
2021-10-17,7122,-1.2719953104786546,1,1
2021-10-18,16228,0.7144202781371282,1,1
2021-10-19,24866,2.5987446636481244,1,1
2021-10-20,19061,1.332421086675291,1,1
2021-10-21,15298,0.5115467335058215,1,1
2021-10-22,9992,-0.6459231888745149,1,1
2021-10-23,6348,-1.4408384540750323,1,1
2021-10-24,7693,-1.1474353169469598,1,1
2021-10-25,16529,0.7800815006468306,1,1
2021-10-26,20109,1.561035575679172,1,1
2021-10-27,15271,0.5056568564036222,1,1
2021-10-28,15848,0.6315257115135835,1,1
2021-10-29,14339,0.30234702457956014,1,1
2021-10-30,6205,-1.4720329883570504,1,1
2021-10-31,6383,-1.4332034282018111,1,1
2021-11-01,16243,0.7176924320827943,1,1
2021-11-02,15613,0.5802619663648124,1,1
2021-11-03,20780,1.7074099288486415,1,1
2021-11-04,19822,1.4984283635187579,1,1
2021-11-05,15298,0.5115467335058215,1,1
2021-11-06,7119,-1.2726497412677877,1,1
2021-11-07,9928,-0.6598843790426908,1,1
2021-11-08,17871,1.0728302069857696,1,1
2021-11-09,17666,1.0281107697283312,1,1
2021-11-10,16689,0.8149844760672703,1,1
2021-11-11,16277,0.7251093143596378,1,1
2021-11-12,15224,0.495404107373868,1,1
2021-11-13,7749,-1.1352192755498058,1,1
2021-11-14,8722,-0.9229655562742561,1,1
2021-11-15,15843,0.6304349935316947,1,1
2021-11-16,16016,0.6681738357050453,1,1
2021-11-17,16785,0.8359262613195342,1,1
2021-11-18,19232,1.369723641655886,1,1
2021-11-19,14386,0.31259977360931435,1,1
2021-11-20,7512,-1.1869193078913325,1,1
2021-11-21,9256,-0.8064768758085381,1,1
2021-11-22,19706,1.4731237063389393,1,1
2021-11-23,20115,1.5623444372574387,1,1
2021-11-24,15997,0.664029107373868,1,1
2021-11-25,10583,-0.5170003234152653,1,1
2021-11-26,12441,-0.11168952134540751,1,1
2021-11-27,7981,-1.0846099611901683,1,1
2021-11-28,8500,-0.9713934346701164,1,1
2021-11-29,20275,1.5972474126778784,1,1
2021-11-30,19133,1.348127425614489,1,1
2021-12-01,17512,0.9945166558861579,1,1
2021-12-02,18397,1.1875737386804657,1,1
2021-12-03,42497,6.4448344113842175,-1,-1
2021-12-04,19929,1.5217697283311773,1,1
2021-12-05,16167,0.7011135187580854,1,1
2021-12-06,26580,2.972642787839586,1,1
2021-12-07,26760,3.011908635187581,1,1
2021-12-08,26401,2.933595084087969,1,1
2021-12-09,27100,3.0860774579560153,1,1
2021-12-10,27052,3.0756065653298834,1,1
2021-12-11,10521,-0.5305252263906857,1,1
2021-12-12,11415,-0.33550485122897805,1,1
2021-12-13,23802,2.366639877102199,1,1
2021-12-14,21741,1.9170459249676586,1,1
2021-12-15,22254,2.0289535899094435,1,1
2021-12-16,23175,2.2298638421733505,1,1
2021-12-17,12053,-0.1963292367399741,1,1
2021-12-18,7936,-1.094426423027167,1,1
2021-12-19,9334,-0.7894616752910737,1,1
2021-12-20,20295,1.6016102846054334,1,1
2021-12-21,16102,0.6869341849935318,1,1
2021-12-22,14617,0.36299094437257434,1,1
2021-12-23,11478,-0.3217618046571798,1,1
2021-12-24,5926,-1.5328950517464426,1,1
2021-12-25,5755,-1.5701976067270373,1,1
2021-12-26,6460,-1.4164063712807247,1,1
2021-12-27,7345,-1.2233492884864166,1,1
2021-12-28,11750,-0.2624267464424321,1,1
2021-12-29,10468,-0.5420868369987063,1,1
2021-12-30,8197,-1.0374909443725744,1,1
2021-12-31,4499,-1.8441859637774902,1,1
2022-01-01,4791,-1.7804880336351876,1,1
2022-01-02,5553,-1.6142626131953428,1,1
2022-01-03,7400,-1.2113513906856404,1,1
2022-01-04,12072,-0.19218450840879692,1,1
2022-01-05,12661,-0.06369793014230272,1,1
2022-01-06,10609,-0.5113285899094437,1,1
2022-01-07,10578,-0.5180910413971539,1,1
2022-01-08,6377,-1.4345122897800775,1,1
2022-01-09,6976,-1.3038442755498059,1,1
2022-01-10,12224,-0.15902668175937903,1,1
2022-01-11,12639,-0.06849708926261319,1,1
2022-01-12,13148,0.04253800129366106,1,1
2022-01-13,13515,0.12259670116429496,1,1
2022-01-14,11088,-0.4068378072445019,1,1
2022-01-15,6782,-1.3461641332470893,1,1
2022-01-16,6659,-1.3729957956015524,1,1
2022-01-17,8273,-1.0209120310478654,1,1
2022-01-18,12874,-0.017233344113842173,1,1
2022-01-19,11755,-0.2613360284605433,1,1
2022-01-20,15208,0.49191380983182403,1,1
2022-01-21,11486,-0.3200166558861578,1,1
2022-01-22,6380,-1.4338578589909443,1,1
2022-01-23,6494,-1.408989489003881,1,1
2022-01-24,12968,0.0032721539456662353,1,1
2022-01-25,16552,0.7850988033635187,1,1
2022-01-26,14238,0.28031452134540746,1,1
2022-01-27,14701,0.38131500646830535,1,1
2022-01-28,12375,-0.12608699870633894,1,1
2022-01-29,6951,-1.3092978654592495,1,1
2022-01-30,7463,-1.1976083441138423,1,1
2022-01-31,12862,-0.019851067270375163,1,1
2022-02-01,13803,0.18542205692108668,1,1
2022-02-02,14555,0.3494660413971539,1,1
2022-02-03,14211,0.2744246442432083,1,1
2022-02-04,13938,0.21487144243208278,1,1
2022-02-05,6967,-1.3058075679172056,1,1
