Day Index,1 Day Active Users,z-score,baseline_iso_forest,baseline_lof
2021-08-26,2472,0.1845199795081967,1,1
2021-08-27,2003,-0.46371875,1,1
2021-08-28,1345,-1.373188012295082,1,1
2021-08-29,1437,-1.246028176229508,1,1
2021-08-30,2141,-0.2729789959016394,1,1
2021-08-31,2265,-0.10158965163934426,1,1
2021-09-01,2270,-0.09467879098360656,1,1
2021-09-02,2359,0.02833452868852459,1,1
2021-09-03,1816,-0.7221849385245901,1,1
2021-09-04,1260,-1.490672643442623,1,1
2021-09-05,1513,-1.1409830942622952,1,1
2021-09-06,1829,-0.7042167008196721,1,1
2021-09-07,2356,0.024188012295081964,1,1
2021-09-08,2274,-0.08915010245901639,1,1
2021-09-09,2472,0.1845199795081967,1,1
2021-09-10,2049,-0.4001388319672131,1,1
2021-09-11,1337,-1.3842453893442623,1,1
2021-09-12,1445,-1.2349707991803278,1,1
2021-09-13,2455,0.16102305327868852,1,1
2021-09-14,2540,0.2785076844262295,1,1
2021-09-15,2799,0.6364902663934426,1,1
2021-09-16,2450,0.1541121926229508,1,1
2021-09-17,2214,-0.17208043032786885,1,1
2021-09-18,1365,-1.3455445696721313,1,1
2021-09-19,1440,-1.2418816598360656,1,1
2021-09-20,2445,0.1472013319672131,1,1
2021-09-21,2474,0.1872843237704918,1,1
2021-09-22,2513,0.2411890368852459,1,1
2021-09-23,2491,0.21078125,1,1
2021-09-24,2082,-0.3545271516393443,1,1
2021-09-25,1294,-1.4436787909836066,1,1
2021-09-26,1601,-1.0193519467213115,1,1
2021-09-27,3364,1.4174175204918034,1,1
2021-09-28,2923,0.8078796106557377,1,1
2021-09-29,2817,0.6613693647540984,1,1
2021-09-30,2557,0.30200461065573775,1,1
2021-10-01,2121,-0.30062243852459014,1,1
2021-10-02,1480,-1.186594774590164,1,1
2021-10-03,1499,-1.1603335040983607,1,1
2021-10-04,2465,0.17484477459016393,1,1
2021-10-05,2973,0.8769882172131147,1,1
2021-10-06,2947,0.8410517418032787,1,1
2021-10-07,2912,0.7926757172131147,1,1
2021-10-08,2367,0.039391905737704916,1,1
2021-10-09,1360,-1.3524554303278689,1,1
2021-10-10,1475,-1.1935056352459017,1,1
2021-10-11,2526,0.2591572745901639,1,1
2021-10-12,2722,0.530063012295082,1,1
2021-10-13,2742,0.5577064549180328,1,1
