Day Index,Avg. Session Duration
1/21/22,00:01:39
1/22/22,00:01:25
1/23/22,00:01:19
1/24/22,00:02:14
1/25/22,00:02:17
1/26/22,00:01:13
1/27/22,00:02:16
1/28/22,00:01:35
1/29/22,00:01:35
1/30/22,00:01:45
1/31/22,00:01:23
2/1/22,00:01:55
2/2/22,00:01:20
2/3/22,00:02:05
2/4/22,00:01:54
2/5/22,00:01:17
2/6/22,00:02:16
2/7/22,00:02:27
2/8/22,00:01:51
2/9/22,00:01:38
2/10/22,00:01:44
2/11/22,00:01:19
2/12/22,00:01:38
2/13/22,00:01:30
2/14/22,00:01:37
2/15/22,00:02:13
2/16/22,00:02:07
2/17/22,00:01:39
2/18/22,00:01:42
2/19/22,00:01:42
2/20/22,00:02:01
2/21/22,00:02:13
2/22/22,00:01:22
2/23/22,00:01:27
2/24/22,00:02:07
2/25/22,00:01:36
2/26/22,00:01:27
2/27/22,00:01:40
2/28/22,00:02:04
3/1/22,00:01:56
3/2/22,00:01:44
3/3/22,00:01:46
3/4/22,00:01:30
3/5/22,00:01:43
3/6/22,00:02:25
3/7/22,00:00:57
3/8/22,00:02:08
3/9/22,00:01:41
3/10/22,00:02:04
3/11/22,00:02:38
3/12/22,00:01:30
3/13/22,00:01:15
3/14/22,00:01:32
3/15/22,00:01:26
3/16/22,00:01:45
3/17/22,00:01:53
3/18/22,00:01:10
3/19/22,00:02:00
3/20/22,00:01:42
3/21/22,00:01:19
3/22/22,00:01:27
3/23/22,00:02:52
3/24/22,00:01:18
3/25/22,00:01:48
3/26/22,00:02:05
3/27/22,00:02:03
3/28/22,00:01:24
3/29/22,00:01:36
3/30/22,00:01:34
3/31/22,00:01:48
4/1/22,00:02:22
4/2/22,00:02:02
4/3/22,00:02:21
4/4/22,00:01:49
4/5/22,00:01:45
4/6/22,00:02:15
4/7/22,00:01:54
4/8/22,00:01:44
4/9/22,00:01:48
4/10/22,00:01:37
4/11/22,00:01:56
4/12/22,00:01:35
4/13/22,00:01:30
4/14/22,00:01:35
4/15/22,00:01:43
4/16/22,00:01:43
4/17/22,00:01:27
4/18/22,00:02:13
4/19/22,00:01:33
4/20/22,00:02:21
4/21/22,00:01:48
4/22/22,00:01:16
4/23/22,00:01:29
4/24/22,00:01:10
4/25/22,00:01:29
4/26/22,00:01:55
4/27/22,00:02:20
4/28/22,00:01:57
4/29/22,00:01:51
4/30/22,00:01:49
5/1/22,00:01:18
5/2/22,00:01:48
5/3/22,00:01:37
5/4/22,00:01:41
5/5/22,00:02:11
5/6/22,00:01:36
5/7/22,00:01:47
5/8/22,00:01:13
5/9/22,00:01:33
5/10/22,00:01:49
5/11/22,00:01:35
5/12/22,00:01:26
5/13/22,00:01:37
5/14/22,00:01:24
5/15/22,00:01:25
5/16/22,00:00:55
5/17/22,00:02:05
5/18/22,00:01:17
5/19/22,00:01:53
5/20/22,00:01:33
5/21/22,00:01:13
5/22/22,00:00:57
5/23/22,00:01:02
5/24/22,00:01:41
5/25/22,00:01:27
5/26/22,00:01:40
5/27/22,00:01:27
5/28/22,00:01:26
5/29/22,00:01:32
5/30/22,00:01:37
5/31/22,00:01:32
